"id","script","seuil","valeur_correction","description"
"debit_chantier_max_HA_H","nettoyage_intervention",10000,-1,"Débit de chantier maximal en ha / h"
"debit_chantier_max_H_HA","nettoyage_intervention",100000,-1,"Débit de chantier maximal en h / ha"
"debit_chantier_max_VOY_H","nettoyage_intervention",10000,-1,"Débit de chantier maximal en voyage / h"
"debit_chantier_max_BAL_H","nettoyage_intervention",10000,-1,"Débit de chantier maximal en balles / h"
"debit_chantier_max_T_H","nettoyage_intervention",10000,-1,"Débit de chantier maximal en t / h"
"debit_chantier_min_HA_H","nettoyage_intervention",0,-1,"Débit de chantier minimal en ha / h"
"debit_chantier_min_H_HA","nettoyage_intervention",0,-1,"Débit de chantier minimal en h / ha"
"debit_chantier_min_VOY_H","nettoyage_intervention",0,-1,"Débit de chantier minimal en voyages / h"
"debit_chantier_min_BAL_H","nettoyage_intervention",0,-1,"Débit de chantier minimal en balles / h"
"debit_chantier_min_T_H","nettoyage_intervention",0,-1,"Débit de chantier minimal en t / h"
"duree_intervention_min","nettoyage_intervention",0,-1,"Durée de l’intervention minimale en jours"
